ensembl_gene_id,shCon,shMLL1,shNRF2,shUTX
ENSG00000136758,5.143611415,5.43566134,5.998964829,5.719097345
ENSG00000136807,1.35544935,1.568253443,1.963610099,1.008537644
ENSG00000136811,6.154805249,5.995256715,6.226877222,6.337816909
ENSG00000136813,-2.680284941,-2.680284941,-1.736849044,-0.923625457
ENSG00000136819,1.35544935,1.698840489,2.377537809,1.644034816
ENSG00000136824,-2.680284941,-2.680284941,-1.736849044,-1.549634774
ENSG00000136827,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136828,9.32922899,9.365914619,9.198661203,9.218445959
ENSG00000136840,8.046902096,8.226423338,8.245309947,8.519870473
ENSG00000136842,-0.21306264,-0.220325737,-2.680284941,0.116285753
ENSG00000136854,8.36835148,8.341478335,8.26570574,8.429571041
ENSG00000136859,4.397401487,4.417333787,4.087939481,3.993748881
ENSG00000136861,1.989921838,3.125124705,2.336990983,3.852611615
ENSG00000136866,-2.680284941,-2.680284941,-1.171245043,-2.680284941
ENSG00000136874,0.195827878,0.766556945,0.028700556,0.868911725
ENSG00000136877,-2.680284941,-2.680284941,-1.736849044,-1.549634774
ENSG00000136878,-1.749770001,-1.753980055,-2.680284941,-2.680284941
ENSG00000136881,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000136891,1.094068462,1.085847204,2.336990983,3.373403499
ENSG00000136895,-0.785809199,-2.680284941,-2.680284941,-1.549634774
ENSG00000136908,-0.21306264,-1.753980055,-0.190866838,-0.488494342
ENSG00000136918,-2.680284941,-2.680284941,-1.171245043,-1.549634774
ENSG00000136925,-2.680284941,-2.680284941,-1.736849044,-1.549634774
ENSG00000136932,4.629294845,5.105645918,5.210370413,5.234362903
ENSG00000136935,-0.47119825,-0.220325737,-0.449955477,-2.680284941
ENSG00000136936,0.514055174,0.188168011,0.67459429,0.116285753
ENSG00000136937,-0.785809199,-0.001668967,-0.449955477,-0.488494342
ENSG00000136938,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000136943,-0.47119825,-0.478146429,-0.449955477,1.008537644
ENSG00000136944,-0.21306264,-0.792289112,-0.765985083,0.541130891
ENSG00000136960,2.606971575,2.529795801,2.336990983,2.773386108
ENSG00000136997,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137033,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137038,7.50377433,7.54351636,7.404052846,7.434099439
ENSG00000137040,6.706861405,7.075413584,6.655661099,7.109009758
ENSG00000137054,7.438269795,7.721132106,7.487463113,7.650765222
ENSG00000137055,8.108781126,8.239893282,8.232932616,8.409238287
ENSG00000137070,1.989921838,1.874921278,2.252309682,0.868911725
ENSG00000137073,7.456959271,7.893817281,8.167234525,8.572159677
ENSG00000137074,7.509380939,7.578925367,7.350316525,7.621152233
ENSG00000137075,6.146193897,6.333541685,6.778083207,7.488785707
ENSG00000137076,9.577601711,9.835271014,9.869632728,9.518834079
ENSG00000137094,1.768417283,1.874921278,2.162346219,0.714310345
ENSG00000137098,1.506624973,-0.001668967,1.11915879,0.541130891
ENSG00000137100,7.2568514,6.839208809,6.937434848,6.415150158
ENSG00000137101,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137103,3.037788979,2.420477736,2.791742406,1.360998452
ENSG00000137106,8.151000047,8.002124954,7.92886319,7.991005151
ENSG00000137124,7.066129427,7.683179895,7.090101719,7.184576561
ENSG00000137133,6.494875541,5.858741085,5.969426152,5.183696348
ENSG00000137135,6.65114458,6.49278625,6.566404718,5.995756253
ENSG00000137142,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137145,7.192787953,7.339671964,7.830975976,7.524124528
ENSG00000137154,11.9776784,11.91849377,11.75346634,11.93181876
ENSG00000137161,5.513082147,5.313578796,5.522067617,5.052690782
ENSG00000137166,-1.749770001,-1.194443566,-0.765985083,-2.680284941
ENSG00000137168,-2.680284941,-2.680284941,-1.171245043,-2.680284941
ENSG00000137171,2.466465346,1.929142681,1.794239672,0.541130891
ENSG00000137177,7.568583309,7.286143499,7.431994484,7.43099967
ENSG00000137185,-1.749770001,-1.753980055,-2.680284941,-2.680284941
ENSG00000137198,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000137200,4.024019942,4.135417151,3.99977648,4.075425921
ENSG00000137203,8.025149824,7.546771514,8.090038203,8.002535531
ENSG00000137204,6.216431889,5.926948486,5.972738253,5.546527287
ENSG00000137207,5.108579192,5.74620329,5.969426152,6.263091509
ENSG00000137210,8.477068019,8.189413499,8.014113391,7.992057184
ENSG00000137216,-1.749770001,-1.194443566,0.028700556,-0.488494342
ENSG00000137218,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000137221,5.472325827,5.926948486,5.891070509,6.065378013
ENSG00000137225,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137261,2.089102212,2.457845069,2.336990983,1.644034816
ENSG00000137266,5.25992977,4.950441675,5.428681871,5.161425293
ENSG00000137267,5.608114787,5.727200714,5.618258632,5.591643267
ENSG00000137269,-1.749770001,-1.753980055,-1.736849044,-0.923625457
ENSG00000137270,-1.188733326,-0.478146429,-0.190866838,-1.549634774
ENSG00000137273,6.208181669,6.512898165,6.359307247,5.635391057
ENSG00000137274,4.871438469,4.544357221,4.712733133,4.844800341
ENSG00000137275,7.174554222,7.195033204,7.215622015,7.037440781
ENSG00000137285,1.506624973,1.929142681,1.909332976,1.360998452
ENSG00000137309,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000137310,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000137337,0.195827878,0.506155561,-1.736849044,0.116285753
ENSG00000137338,-1.188733326,-1.194443566,0.538174699,-0.154643054
ENSG00000137343,0.363698052,0.642223487,0.913933208,-1.549634774
ENSG00000137364,5.739866774,5.632333145,5.075156531,5.65146041
ENSG00000137393,7.414562244,6.563056563,7.244682159,6.820080847
ENSG00000137404,-1.749770001,-1.753980055,-2.680284941,-2.680284941
ENSG00000137413,6.44893355,6.426005342,6.974253811,5.891369443
ENSG00000137414,5.89868224,6.414172353,6.273280371,6.184283217
ENSG00000137440,5.367565558,5.261698342,6.074899803,5.153924547
ENSG00000137449,3.245550906,3.562572738,4.193908992,4.240329542
ENSG00000137473,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137478,1.186558019,0.35590515,0.538174699,-0.154643054
ENSG00000137486,9.17972815,8.95793549,9.21588412,9.109726277
ENSG00000137491,1.35544935,1.698840489,1.602307305,-0.154643054
ENSG00000137496,6.137530837,6.44473854,6.381905399,6.220639659
ENSG00000137497,6.469788677,7.032714127,6.965967993,6.727104233
ENSG00000137501,8.104342297,8.361334152,8.551945795,8.664132509
ENSG00000137502,6.288634671,6.039062435,5.935880092,5.629994583
ENSG00000137504,-1.749770001,0.188168011,-0.449955477,-0.488494342
ENSG00000137507,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137509,6.157664315,6.218506384,6.391836511,6.139410452
ENSG00000137522,2.502895473,2.695383756,2.115169379,1.555718459
ENSG00000137547,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000137558,-2.680284941,-2.680284941,-1.171245043,-1.549634774
ENSG00000137561,-2.680284941,-2.680284941,-1.736849044,-1.549634774
