ensembl_gene_id,SYMBOL,logFC,logCPM,PValue,FDR,ROS hallmark
ENSG00000013364,MVP,-0.40126387,7.400075025,1.22E-13,1.39E-12,
ENSG00000161618,ALDH16A1,-0.401740638,10.76287385,9.91E-13,1.05E-11,
ENSG00000107099,DOCK8,-0.402477237,4.254264031,0.001086651,0.004129138,
ENSG00000188991,SLC15A5,-0.403777279,6.358693955,1.16E-11,1.13E-10,
ENSG00000100266,PACSIN2,-0.404060016,7.990975646,9.16E-14,1.06E-12,
ENSG00000172613,RAD9A,-0.404142949,7.056455577,1.25E-13,1.43E-12,
ENSG00000171992,SYNPO,-0.404437219,7.590508151,1.93E-14,2.38E-13,
ENSG00000180185,FAHD1,-0.40445655,6.760246434,4.93E-13,5.37E-12,
ENSG00000148660,CAMK2G,-0.404645167,2.300971976,0.115980611,0.222721466,
ENSG00000141994,DUS3L,-0.404883532,7.702189802,3.54E-12,3.58E-11,
ENSG00000111644,ACRBP,-0.405174019,13.74130304,5.60E-15,7.24E-14,
ENSG00000163697,APBB2,-0.405242932,3.989497985,0.005157919,0.016801769,
ENSG00000140961,OSGIN1,-0.405528691,4.93167187,0.000352915,0.001469057,
ENSG00000169239,CA5B,-0.405863556,3.848002508,0.008130243,0.024889413,
ENSG00000039987,BEST2,-0.405888313,8.748052523,3.77E-13,4.15E-12,
ENSG00000162458,FBLIM1,-0.405911504,7.339338007,4.55E-14,5.41E-13,
ENSG00000165280,VCP,-0.4060657,11.13275595,6.10E-13,6.59E-12,
ENSG00000057252,SOAT1,-0.406165031,4.721755323,0.002602928,0.00918738,
ENSG00000131400,NAPSA,-0.406236301,7.292141777,1.17E-14,1.48E-13,
ENSG00000243130,PSG11,-0.406994394,3.024583335,0.198659891,0.317133709,
ENSG00000143630,HCN3,-0.407351949,8.354000062,2.13E-13,2.39E-12,
ENSG00000172752,COL6A5,-0.407354226,6.206313628,2.09E-09,1.63E-08,
ENSG00000092096,SLC22A17,-0.407747521,8.114412933,1.20E-13,1.38E-12,
ENSG00000146535,GNA12,-0.408014022,2.711772256,0.069060635,0.154879002,
ENSG00000089486,CDIP1,-0.4084316,7.828991653,1.50E-13,1.70E-12,
ENSG00000143570,SLC39A1,-0.408834266,9.538026045,3.99E-13,4.37E-12,
ENSG00000172009,THOP1,-0.409068022,9.245241671,7.83E-13,8.40E-12,
ENSG00000104870,FCGRT,-0.409084643,8.598962799,7.52E-13,8.08E-12,
ENSG00000173846,PLK3,-0.409230992,5.417470042,2.30E-06,1.30E-05,
ENSG00000108578,BLMH,-0.409399118,1.863983578,0.264881279,0.409513984,
ENSG00000143627,PKLR,-0.409433953,8.72699538,2.84E-13,3.15E-12,
ENSG00000103226,NOMO3,-0.409476655,5.235111159,1.61E-05,8.16E-05,
ENSG00000133069,TMCC2,-0.409611168,6.068667388,1.41E-07,9.18E-07,
