Symbol,O_Con,O_NFIB,O_MLL1,A_Con,A_NFIB,A_MLL1,NFIB,H3K4me3,TF,Adipo,Osteo,Cluster
Mfsd4b1,1.61699582,0.493616178,-1.27708818,1.2349138,-0.028556893,0.791802416,2.676431909,0,0,0,0,cluster1
Mgll,-1.132355288,3.565949098,-1.505391106,3.093080179,-1.571405476,-3.282903659,2.350037773,1.096181002,0,0,0,cluster3
Mgst2,3.859507908,1.307398957,-2.255531212,2.914291901,-2.914385868,-2.129650471,1.388658684,2.817369002,0,0,0,cluster1
Mrap,5.530751475,0.162267289,-6.110176474,7.026501415,-6.441632872,-7.656897468,1.370855368,0,0,1,0,cluster2
Myo7a,3.267361996,-0.770966566,-1.419399813,5.219146487,-1.826923031,-2.564140336,2.004443983,0,0,0,0,cluster1
Nabp1,1.083588238,5.59312965,-0.52999873,3.046814366,-2.921701257,-2.975376715,1.723361034,1.541812926,0,0,0,cluster3
Ndrg2,6.490790607,1.410970159,-4.987197485,3.757566399,-4.172697871,-1.580607548,1.175018887,0.162540519,0,0,0,cluster1
Nkd1,2.641339789,-0.60631056,-3.720368656,2.482180888,-0.049315453,-2.264580056,2.401125551,0.249927895,0,0,0,cluster1
Nkd2,7.946845271,-2.057178961,-7.76210385,-0.588208429,4.980431891,-0.042187624,2.937547217,0.216720692,1,0,0,cluster1
Npb,2.501728325,-1.390533279,-1.899685909,1.996754066,0.173076965,-0.305222036,1.02437544,0,0,0,0,cluster1
Nr1h3,2.125083467,0.612280472,-0.474114949,5.42301882,-3.668225286,-2.76801267,2.990957166,0,1,0,0,cluster3
Ogn,1.304434417,9.851063626,-0.670033049,3.122690395,-1.121317347,-1.129196128,0,1.936459003,0,0,0,cluster3
Olfm2,4.580222598,4.046996381,-2.151448444,4.748074948,-0.930545663,1.628275812,2.880691464,0.567601814,0,0,0,cluster1
Olfml1,1.772761057,1.28978471,-3.034179993,4.804108993,-2.219240453,-1.264580055,0.475288538,3.575891425,0,0,0,cluster3
Olr1,4.119575119,-2.046904558,1.577505794,6.903644661,-4.73381363,-6.53404072,0,0,0,0,0,cluster3
Orm1,11.04600551,3.371041626,2.454749548,9.411791564,-5.01956811,-2.412831012,1.492591559,0,0,0,0,cluster3
Orm2,5.962455664,0.996637882,1.829871895,7.219146487,-4.634277953,-2.294953703,0,0,0,0,0,cluster3
Orm3,6.028299138,4.579597398,3.910982997,7.055647754,-4.470779221,-0.170343984,1.032259583,0,0,0,0,cluster3
Otor,-2.092921274,-0.781017538,-2.422873112,3.134257585,-0.623389637,-1.331694251,1.68908965,0,0,0,0,cluster3
