SYMBOL,shControl,shNRF2,shMLL1,shUTX,Cluster,ROS hallmark,MLL1,H3K4,UTX,H3K27,CHE
APPL1,1.135740669,-0.227956532,0,-0.700968949,cluster1,,0,1,0,0,0
AASDH,2.116195054,0.085677379,-0.688036753,0.075358891,cluster1,,0,0,0,0,0
COL16A1,4.561279621,0.175536781,-0.688036753,0,cluster1,,0,1,0,0,0
CTNNA3,2.68598855,-0.59577316,-0.633935909,-0.109594198,cluster1,,0,0,0,0,0
PXN,1.426748606,-0.190581356,-0.614176851,3.11187958,cluster1,,0,1,0,0,0
ZNRF1,1.091567333,0.09594748,-0.5981302,-0.197099883,cluster1,,0,0,0,0,0
PPP1CB,2.34088107,-0.880459859,-0.591660011,3.044163807,cluster1,,1,0,0,0,0
ZNF705A,4.960958855,-1.291421205,-0.572713146,0.458248539,cluster1,,0,0,0,0,0
ZNF587,1.377805156,0.039809225,-0.569637106,0.18443207,cluster1,,0,0,0,0,0
ALAS2,3.76093579,-0.533763006,-0.565482916,0.047474748,cluster1,,0,0,0,0,0
ZCCHC3,1.954816905,-0.011969083,-0.552163406,0.207348312,cluster1,,0,0,0,0,0
GEN1,4.960958855,-0.28203138,-0.54278339,0.317866854,cluster1,,0,0,0,0,0
GPR33,4.960958855,0.175536781,3.286805581,-0.539989205,cluster1,,0,0,0,0,0
SMIM10L2B,1.170434628,-0.421249695,-0.482264295,-0.301877217,cluster1,,0,0,0,0,0
B4GALT5,2.278775903,-0.024480439,-0.482264295,-0.488891118,cluster1,,0,0,1,0,0
TGFBR2,1.195778923,0.103027045,-0.471200555,-0.04893323,cluster1,,0,0,0,0,0
CEP57,1.453212645,-0.136380901,-0.470496401,4.02592915,cluster1,,0,0,0,0,0
SH3BP1,1.763786093,1.31211235,-0.455637627,0,cluster1,,0,0,0,0,0
BOLL,1.522815566,-0.634794658,-0.446893639,0.227327881,cluster1,,0,0,0,0,0
ZBTB41,1.239555414,-0.831367814,-0.446191519,0.30468137,cluster1,,0,0,0,0,0
CCBE1,1.17726904,-0.34431105,-0.444187627,0.294387521,cluster1,,0,1,0,0,0
SLC2A13,1.146230236,-0.12440044,-0.430194528,-0.004932874,cluster1,,0,0,0,0,0
ATP5F1B,1.067880796,0.161592615,-0.427603672,0,cluster1,,0,1,0,0,0
SDF2L1,1.782812145,0.191467158,-0.410015492,-3.231044725,cluster1,,0,1,0,0,0
DHCR24,4.561279621,0,-0.402379845,0.128618874,cluster1,,0,0,0,0,0
GAB3,2.0029488,-0.979475571,-0.375680248,0.297310137,cluster1,,0,1,0,0,0
GCFC2,4.561279621,0.175536781,-0.375209658,0,cluster1,,0,0,0,0,0
TRIT1,1.219115339,0.52854305,-0.373810964,-1.040218883,cluster1,,0,0,0,0,0
KIF7,1.114856472,-0.048590281,-0.37372435,-4.152098462,cluster1,,0,0,0,0,0
AKAP7,1.64742185,-0.06413317,-0.366083434,0.224978345,cluster1,,0,1,0,1,0
USP42,1.00210399,0.031041913,-0.364480552,3.11187958,cluster1,,0,0,0,1,0
CD3D,2.620224623,0.266993373,1.110913326,-0.436011087,cluster3,,0,0,0,0,0
COL4A4,4.561279621,0.185844764,-0.360032151,0,cluster1,,0,0,0,0,0
CCDC39,4.561279621,1.656513537,0.153366216,-0.405348253,cluster1,,0,1,0,0,0
CRYGS,4.960958855,-3.997903788,-0.34271636,-0.242691635,cluster1,,0,0,0,0,0
KRT19,2.659650103,1.338536702,-0.340847957,0.37910574,cluster1,,0,0,0,0,0
RAB5B,4.561279621,3.261026801,-0.340798559,-3.231044725,cluster1,,0,1,0,0,0
WDR5B,1.474932151,-0.115932621,-0.337181296,0.180005182,cluster1,,0,1,0,0,0
DACT2,1.113085387,0.015811517,0,-0.383491639,cluster1,,0,0,0,0,0
GFOD2,1.353520599,0.196594838,-0.332615215,-0.119165145,cluster1,,0,0,0,0,0
PCNA,4.960958855,0,-0.330965583,0,cluster1,,0,0,1,0,0
ZNF66,1.165539451,-0.10124375,-0.32995312,0.187403193,cluster1,,0,0,0,0,0
SLC25A36,4.561279621,0,-0.328575698,0,cluster1,,1,0,0,0,0
HLA-DMB,5.530397833,1.656513537,-0.325855215,-0.24999564,cluster1,,0,0,0,1,0
DST,1.084508569,0.037310736,-0.320167045,-0.843433648,cluster1,,0,0,0,0,0
DCLK1,1.202689328,-1.353825126,-0.317958574,0,cluster1,,0,0,0,0,0
TEX22,1.381201169,0.219853632,0.057625685,-0.362598103,cluster1,,0,1,0,0,0
DMGDH,4.960958855,0.744099769,-0.313439484,0,cluster1,,0,0,0,0,0
EML1,1.700180831,0.195563443,-0.307187632,3.11187958,cluster1,,0,1,0,0,0
LYZL6,1.001828461,-0.02491157,-0.305245048,-0.212608296,cluster1,,0,0,0,0,0
DDX1,1.208925655,-0.12427054,-0.297937967,0,cluster1,,0,0,0,0,0
ZNF689,4.561279621,-0.736876987,-0.296632462,-0.196251394,cluster1,,0,1,1,0,0
ZNF253,2.278775903,0.189555551,0.38219995,-0.35536658,cluster1,,0,0,0,0,0
PTPRN2,4.561279621,-3.997903788,-0.293163643,0.093526214,cluster1,,0,0,0,0,0
KIAA0040,4.561279621,0,-0.29201076,-0.498740313,cluster1,,0,1,0,0,0
TPH2,1.111341473,-0.017134434,-0.282894157,3.11187958,cluster1,,0,0,0,1,0
PRRC2C,1.17405325,0.052800909,-0.276519718,0,cluster1,,0,0,0,0,0
SRCAP,1.130377853,-0.139667937,-0.273869265,-3.231044725,cluster1,,0,1,0,0,0
PRDX4,2.853295807,0,-0.269602291,0,cluster1,ROS,0,1,0,0,1
PKNOX1,2.561017725,0.919353513,-0.262086238,-0.539309873,cluster1,,0,0,0,0,0
GRAMD2A,3.107290278,0.196855938,-0.259737226,0.599026368,cluster1,,0,0,1,0,0
